batch_idx,horizon_idx,action_0,action_1
0,0,-0.5340499877929688,0.19875000417232513
0,1,-0.5340499877929688,0.19249999523162842
0,2,-0.5340499877929688,0.1862500011920929
0,3,-0.5340499877929688,0.17999999225139618
0,4,-0.5340499877929688,0.17374999821186066
0,5,-0.5340499877929688,0.16750000417232513
0,6,-0.5340499877929688,0.16124999523162842
0,7,-0.5340499877929688,0.1550000011920929
0,8,-0.5340499877929688,0.14874999225139618
0,9,-0.5340499877929688,0.14249999821186066
0,10,-0.5340499877929688,0.13625000417232513
0,11,-0.5340499877929688,0.12999999523162842
0,12,-0.5340499877929688,0.1237499937415123
0,13,-0.5340499877929688,0.11749999970197678
0,14,-0.5340499877929688,0.11124999821186066
0,15,-0.5340499877929688,0.10499999672174454
1,0,-0.5410500168800354,0.02859998680651188
1,1,-0.5410500168800354,0.02859998680651188
1,2,-0.5410500168800354,0.02859998680651188
1,3,-0.5410500168800354,0.02859998680651188
1,4,-0.5410500168800354,0.029399985447525978
1,5,-0.5410500168800354,0.029399985447525978
1,6,-0.5410500168800354,0.029399985447525978
1,7,-0.5410500168800354,0.029399985447525978
1,8,-0.5410500168800354,0.029399985447525978
1,9,-0.5410500168800354,0.029399985447525978
1,10,-0.5410500168800354,0.028899986296892166
1,11,-0.5417500138282776,0.022649986669421196
1,12,-0.5424500107765198,0.016399985179305077
1,13,-0.5432000160217285,0.010149985551834106
1,14,-0.5439500212669373,0.0038999856915324926
1,15,-0.544700026512146,-0.002350014401599765
2,0,-0.4102499783039093,0.058500029146671295
2,1,-0.4131999909877777,0.058500029146671295
2,2,-0.41614997386932373,0.058500029146671295
2,3,-0.4191499650478363,0.059000030159950256
2,4,-0.42214998602867126,0.05950002744793892
2,5,-0.42514997720718384,0.06000002846121788
2,6,-0.4281499683856964,0.06130002811551094
2,7,-0.43114998936653137,0.06300003081560135
2,8,-0.43414998054504395,0.06470002979040146
2,9,-0.4371499717235565,0.06640002876520157
2,10,-0.4402499794960022,0.0678500309586525
2,11,-0.4433499872684479,0.06895002722740173
2,12,-0.4464999735355377,0.06895002722740173
2,13,-0.44964998960494995,0.06895002722740173
2,14,-0.4528999924659729,0.06895002722740173
2,15,-0.45614996552467346,0.06895002722740173
3,0,-0.5408246517181396,0.3444775640964508
3,1,-0.5361246466636658,0.3497275710105896
3,2,-0.5310746431350708,0.35467755794525146
3,3,-0.5256246328353882,0.3590775728225708
3,4,-0.519624650478363,0.36267757415771484
3,5,-0.5133746266365051,0.3653775751590729
3,6,-0.507124662399292,0.3672775626182556
3,7,-0.507124662399292,0.3672775626182556
3,8,-0.507124662399292,0.3672775626182556
3,9,-0.5058746337890625,0.3672775626182556
3,10,-0.5041746497154236,0.3672775626182556
